date;Nb(#);Duration;Amplitude;Magnitude;E(J);Longitude;Latitude;Depth;Type;File;LocMode;LocType;Projection;Operator;Timestamp;ID
20180909 084428.56;1;2.34;Faible;-0.4258831714;14493.5656788424;-61.66436188;16.04307363;-0.65234375;VOLCTECT;2018/09/09/ovsg2018rtkqwd;manual;earthquake;WGS84;VR;20180909T084428.56;2018-09#266
20180909 085430.90;1;1.56;Faible;-0.2756786052;24349.0539642477;-61.66220823;16.04390677;-0.88671875;VOLCTECT;2018/09/09/ovsg2018rtkzmy;manual;earthquake;WGS84;VR;20180909T085430.90;2018-09#267
20180909 090401.14;1;2.7;Faible;-0.05604088626;51992.2569891135;-61.66306969;16.04432334;-0.65234375;VOLCTECT;2018/09/09/ovsg2018rtlhsd;manual;earthquake;WGS84;VR;20180909T090401.14;2018-09#268
20180909 091014.34;1;2.4;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtlnbl;manual;earthquake;WGS84;VR;20180909T091014.34;2018-09#269
20180909 091649.02;2;2.34;Faible;;;-61.6982;16.0348;0;VOLCEMB;2018/09/09/ovsg2018rtlssl;manual;not locatable;WGS84;ABU;20180909T091649.02;2018-09#251
20180909 092848.72;1;2.46;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtmdbk;manual;earthquake;WGS84;VR;20180909T092848.72;2018-09#270
20180909 093656.88;1;2.1;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtmkbq;manual;earthquake;WGS84;VR;20180909T093656.88;2018-09#271
20180909 100828.38;1;2.04;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtnlgd;manual;earthquake;WGS84;VR;20180909T100828.38;2018-09#272
20180909 102325.68;1;2.7;Faible;;;-61.66907;16.04454;;VOLCTECT;2018/09/09/ovsg2018rtnydc;manual;earthquake;WGS84;VR;20180909T102325.68;2018-09#273
20180909 103141.58;1;3.12;Faible;-0.3141423196;21319.9666301187;-61.66306969;16.04390677;-0.65234375;VOLCTECT;2018/09/09/ovsg2018rtofgi;manual;earthquake;WGS84;VR;20180909T103141.58;2018-09#252
20180909 105241.94;1;2.46;Faible;;;-61.654;16.0417;0.91;VOLCTECT;2018/09/09/ovsg2018rtoxiw;manual;not locatable;WGS84;VR;20180909T105241.94;2018-09#253
20180909 105529.10;1;2.04;Moyenne;0.300664554;178236.576166989;-61.66350042;16.04432334;-0.65234375;VOLCTECT;2018/09/09/ovsg2018rtoztn;manual;earthquake;WGS84;VR;20180909T105529.10;2018-09#274
20180909 110611.64;1;1.98;Faible;-0.2829411796;23745.8779134372;-61.66306968;16.04473991;-0.53515625;VOLCTECT;2018/09/09/ovsg2018rtpizg;manual;earthquake;WGS84;VR;20180909T110611.64;2018-09#275
20180909 111223.52;1;2.28;Faible;-0.1065360383;43671.2821441461;-61.66220823;16.04349019;-0.41796875;VOLCTECT;2018/09/09/ovsg2018rtpoie;manual;earthquake;WGS84;VR;20180909T111223.52;2018-09#276
20180909 112514.64;1;3;Faible;0.02266459468;68233.3811078415;-61.66220823;16.04390677;-0.76953125;VOLCTECT;2018/09/09/ovsg2018rtpzkb;manual;earthquake;WGS84;VR;20180909T112514.64;2018-09#254
20180909 112758.20;1;2.58;Faible;-0.2255720943;28949.552748372;-61.66350042;16.04432334;-0.41796875;VOLCTECT;2018/09/09/ovsg2018rtqbti;manual;earthquake;WGS84;VR;20180909T112758.20;2018-09#277
20180909 114100.84;1;2.22;Faible;-0.0277394351;57331.1756121466;-61.66306969;16.0434902;-0.65234375;VOLCTECT;2018/09/09/ovsg2018rtqmzi;manual;earthquake;WGS84;VR;20180909T114100.84;2018-09#278
20180909 115143.14;2;3.3;Faible;;;-61.66907;16.04454;;VOLCEMB;2018/09/09/ovsg2018rtqwfl;manual;earthquake;WGS84;ABU;20180909T115143.14;2018-09#282
